French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
genre,kind
frère,brother
devrait,should
revoir,meet again
place,square
parle,speak
pourrais,could
affaire,case
donner,give
type,type
leurs,their
train,train
endroit,place
premier,first
sois,be
tellement,so much
devant,in front of
vers,towards
minutes,minutes
demandé,request
droit,law
cause,cause
eau,water
attendez,Wait
boulot,job
dirait,would say
donne,given
loin,far
croire,believe
gros,large
filles,girls
jouer,to play
bureau,office
